table,rows_v3,rows_v4,columns_v3,columns_v4,rows_added,rows_removed,cells_changed,max_relative_change,columns_added,columns_removed,sample_rows_added,sample_rows_removed
fixed_opex_new_entrants,25,21,3,3,0,4,0,,,,,"1. Sourced from Aurecon 2024 Energy Technology Cost and Technical Parameter Review including cost escalation.; 2. Wind, Large-Scale Solar PV and Solar Thermal Variable O&M costs are assumed to be included in the Fixed O&M costs as per Aurecon's report.; 3. The cost of extended warranties are included in the Fixed O&M costs for Battery storage to cover a 20-year battery life.; Notes:"
flow_path_augmentation_costs_accelerated_transition_CNSW-NNSW,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_CNSW-SNW,10,10,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_CQ-GG,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_CQ-NQ,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_CSA-NSA,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_MEL-WNV,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_NNSW-SQ,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_SESA-CSA,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_SEV-MEL,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_SNSW-CNSW,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_SQ-CQ,6,6,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_TAS-SEV,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_WNV-SESA,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_accelerated_transition_WNV-SNSW,1,1,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_CNSW-NNSW,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_CNSW-SNW,10,10,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_CQ-GG,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_CQ-NQ,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_CSA-NSA,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_MEL-WNV,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_NNSW-SQ,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_SESA-CSA,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_SEV-MEL,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_SNSW-CNSW,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_SQ-CQ,6,6,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_TAS-SEV,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_WNV-SESA,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_slower_growth_WNV-SNSW,1,1,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_CNSW-NNSW,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_CNSW-SNW,10,10,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_CQ-GG,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_CQ-NQ,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_CSA-NSA,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_MEL-WNV,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_NNSW-SQ,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_SESA-CSA,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_SEV-MEL,5,5,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_SNSW-CNSW,4,4,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_SQ-CQ,6,6,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_TAS-SEV,2,2,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_WNV-SESA,3,3,34,34,0,0,0,,,,,
flow_path_augmentation_costs_step_change_WNV-SNSW,1,1,34,34,0,0,0,,,,,
flow_path_augmentation_options_CNSW-NNSW,4,4,16,16,0,0,0,,,,,
flow_path_augmentation_options_CNSW-SNW,10,10,16,16,0,0,0,,,,,
flow_path_augmentation_options_CQ-GG,4,4,16,16,0,0,0,,,,,
flow_path_augmentation_options_CQ-NQ,2,2,16,16,0,0,0,,,,,
flow_path_augmentation_options_CSA-NSA,5,5,16,16,0,0,5,,,,,
flow_path_augmentation_options_MEL-WNV,4,4,16,16,0,0,0,,,,,
flow_path_augmentation_options_NNSW-SQ,5,5,16,16,0,0,0,,,,,
flow_path_augmentation_options_SESA-CSA,4,4,16,16,0,0,0,,,,,
flow_path_augmentation_options_SEV-MEL,5,5,16,16,0,0,0,,,,,
flow_path_augmentation_options_SNSW-CNSW,5,5,16,16,0,0,0,,,,,
flow_path_augmentation_options_SQ-CQ,7,7,16,16,0,0,0,,,,,
flow_path_augmentation_options_TAS-SEV,3,3,16,16,0,0,6,0.0,,,,
flow_path_augmentation_options_WNV-SESA,3,3,16,16,0,0,0,,,,,
flow_path_augmentation_options_WNV-SNSW,1,1,16,16,0,0,1,,,,,
flow_path_transfer_capability,18,18,10,10,0,0,0,,,,,
full_outages_forecast_existing_generators,7,7,11,11,0,0,0,,,,,
gas_prices_existing_generators,117,120,32,32,3,0,0,,,,Uranquinty; Valley Power; Yarwun Cogen,
gas_prices_new_entrants,90,90,32,32,0,0,0,,,,,
gpg_emissions_reduction_biomethane,3,3,31,31,0,0,0,,,,,
gpg_min_stable_level_existing_generators,137,139,4,4,2,0,0,,,,Dubbo GT; Mugga Lane Renewable Hybrid,
gpg_min_stable_level_new_entrants,21,21,2,2,0,0,0,,,,,
gpg_secondary_fuel_prices,120,120,32,32,0,0,0,,,,,
heat_rates_existing_committed_anticipated_additional_generators,519,519,4,4,0,0,0,,,,,
heat_rates_new_entrants,23,21,2,2,0,2,0,,,,,1. Sourced from Aurecon 2024 Energy Technology Cost and Technical Parameter Review.; Notes:
hydrogen_limit_for_gpg,15,15,32,32,0,0,0,,,,,
hydrogen_prices,3,3,32,32,0,0,0,,,,,
industrial_fuel_costs,18,18,32,32,0,0,0,,,,,
initial_resource_limits,52,52,14,16,0,0,0,,Connections pipeline to 2029-30 (MW) (additional table note 2)_Solar; Notes,,,
initial_transmission_limits,48,48,13,13,0,0,0,,,,,
interconnector_transfer_capability,7,7,10,10,0,0,0,,,,,
lead_time_and_project_life,21,21,7,7,0,0,0,,,,,
liquid_fuel_prices,3,3,32,32,0,0,0,,,,,
locational_cost_factors,65,65,7,7,0,0,0,,,,,
long_duration_outages_existing_generators,6,6,12,12,0,0,0,,,,,
lret_target,1,1,2,2,0,0,0,,,,,
maintenance_existing_generators,17,17,3,3,0,0,0,,,,,
maintenance_new_entrants,21,21,3,3,0,0,0,,,,,
marginal_loss_factors_existing_generators,519,519,6,6,0,0,0,,,,,
marginal_loss_factors_new_entrant_electrolysers,149,149,5,5,0,0,0,,,,,
marginal_loss_factors_new_entrants,524,524,5,5,0,0,0,,,,,
maximum_capacity_existing_committed_anticipated_additional_generators,519,519,10,10,0,0,0,,,,,
maximum_capacity_new_entrants,22,21,4,4,0,1,0,,,,,"1. For modelling purposes, AEMO assumes variable renewable energy capacities and storages can be built in 1 MW incremental sizes."
new_entrant_electrolysers_summary,60,60,31,31,0,0,0,,,,,
new_entrants_summary,524,524,31,31,0,0,0,,,,,
nsw_roadmap_min_vre_generation_target,2,2,2,11,0,0,0,,2028-29; 2029-30; 2030-31; 2031-32; 2032-33; 2033-34; 2034-35; 2035-36; 2036-37,,,
nsw_roadmap_storage_energy_capacity_trajectory,2,2,3,7,0,0,0,,2030-31; 2031-32; 2032-33; 2033-34,,,
nsw_roadmap_storage_power_capacity_trajectory,1,1,2,2,0,0,0,,,,,
other_outages_existing_generators,7,7,6,6,0,0,0,,,,,
outages_new_entrants,21,21,7,7,0,0,0,,,,,
partial_outages_forecast_existing_generators,7,7,11,11,0,0,0,,,,,
pumped_hydro_existing_committed_anticipated_additional_properties,7,7,4,4,0,0,0,,,,,
pumped_hydro_new_entrant_properties,4,4,4,4,0,0,0,,,,,
regional_carbon_budget_trajectory,4,4,6,6,0,0,0,,,,,
regional_reference_nodes,5,5,3,3,0,0,0,,,,,
regional_topology_representation,7,7,3,3,0,0,0,,,,,
renewable_energy_zones,47,47,4,4,0,0,0,,,,,
residential_fuel_costs,18,18,32,32,0,0,0,,,,,
rez_augmentation_costs_accelerated_transition_NSW,33,33,35,35,0,0,0,,,,,
rez_augmentation_costs_accelerated_transition_QLD,18,18,35,35,0,0,0,,,,,
rez_augmentation_costs_accelerated_transition_SA,13,13,35,35,0,0,0,,,,,
rez_augmentation_costs_accelerated_transition_TAS,11,11,35,35,0,0,0,,,,,
rez_augmentation_costs_accelerated_transition_VIC,19,19,35,35,0,0,0,,,,,
rez_augmentation_costs_slower_growth_NSW,33,33,35,35,0,0,0,,,,,
rez_augmentation_costs_slower_growth_QLD,18,18,35,35,0,0,0,,,,,
rez_augmentation_costs_slower_growth_SA,13,13,35,35,0,0,0,,,,,
rez_augmentation_costs_slower_growth_TAS,11,11,35,35,0,0,0,,,,,
rez_augmentation_costs_slower_growth_VIC,19,19,35,35,0,0,0,,,,,
rez_augmentation_costs_step_change_NSW,33,33,35,35,0,0,0,,,,,
rez_augmentation_costs_step_change_QLD,18,18,35,35,0,0,0,,,,,
rez_augmentation_costs_step_change_SA,13,13,35,35,0,0,0,,,,,
rez_augmentation_costs_step_change_TAS,11,11,35,35,0,0,0,,,,,
rez_augmentation_costs_step_change_VIC,19,19,35,35,0,0,0,,,,,
rez_augmentation_options_NSW,37,37,14,14,0,0,6,,,,,
rez_augmentation_options_QLD,26,26,14,14,0,0,0,,,,,
rez_augmentation_options_SA,16,16,14,14,0,0,13,2.3274500410345866e-06,,,,
rez_augmentation_options_TAS,11,11,14,14,0,0,0,,,,,
rez_augmentation_options_VIC,24,24,14,14,0,0,19,0.0,,,,
sa_renewable_generation_target,1,1,2,2,0,0,0,,,,,
seasonal_ratings_existing_committed_anticipated_additional_generators,519,519,34,34,0,0,0,,,,,
seasonal_ratings_new_entrants,21,21,4,4,0,0,0,,,,,
sub_regional_reference_nodes,15,15,3,3,0,0,0,,,,,
tas_renewable_energy_target,2,2,2,2,2,2,0,,GWh of renewable generation_All scenarios,Firm Energy Target (MW),2030; 2040,2026-27; 2027-28
tas_renewable_target_trajectory,2,2,3,3,2,2,0,,2029-30; 2039-40,Unnamed: 4; Unnamed: 5,Generation target (GWh); Notes,"AEMO interpolates the required developments to meet the objective of the TRET. The starting point includes historical levels of renewable energy generation (including distributed PV and non-scheduled generation). The trajectory is then interporlated to the 2030 and 2040 targets.; Renewable generation targets (in GWh) for NEM-connected equipment in Tasmania (including CER and non-scheduled generation) on or before 31 December 2030, and on or before 31 December 2040."
technology_cost_breakdown_ratios,21,21,6,6,0,0,0,,,,,
technology_specific_lcfs,65,65,23,23,0,0,0,,,,,
variable_opex_existing_committed_anticipated_additional_generators,726,726,4,4,0,0,0,,,,,
variable_opex_new_entrants,25,21,2,2,0,4,21,3.6574638779963355e-06,,,,"1. Sourced from Aurecon 2024 Energy Technology Cost and Technical Parameter Review, cost adjusted.; 2. Wind, Large-scale Solar PV, Solar Thermal, Pumped Hydro and Electrolyser O&M costs are assumed; Notes:; to be included in the Fixed O&M costs as per Aurecon's report."
vic_offshore_wind_target,3,3,2,2,2,2,0,,All scenarios,Unnamed: 4,2032; 2040,2030; Calendar year
vic_renewable_target,2,3,2,2,3,2,0,,All scenarios,Unnamed: 4,2025; 2030; 2035,nan
vic_storage_target,2,2,2,2,2,2,0,,All scenarios,Unnamed: 4,2030; 2035,nan; where:
wacc,25,25,5,5,0,0,0,,,,,
